,td_date
1437,2008-03-13
1438,2008-03-18
1439,2008-03-19
1440,2008-03-20
1441,2008-03-25
1442,2008-03-26
1443,2008-03-27
1444,2008-04-02
1445,2008-04-08
1446,2008-04-09
1447,2008-04-10
1448,2008-04-15
1449,2008-04-16
1450,2008-04-17
1451,2008-04-22
1452,2008-04-23
1453,2008-04-24
1454,2008-04-29
1455,2008-05-06
1456,2008-05-07
1457,2008-05-08
1458,2008-05-13
1459,2008-05-14
1460,2008-05-15
1461,2008-05-20
1462,2008-05-21
1463,2008-05-22
1464,2008-05-27
1465,2008-05-28
1466,2008-05-29
1467,2008-06-03
1468,2008-06-04
1469,2008-06-05
1470,2008-06-11
1471,2008-06-12
1472,2008-06-17
1473,2008-06-18
1474,2008-06-19
1475,2008-06-24
1476,2008-06-25
1477,2008-06-26
1478,2008-07-02
1479,2008-07-03
1480,2008-07-08
1481,2008-07-09
1482,2008-07-10
1483,2008-07-15
1484,2008-07-16
1485,2008-07-17
1486,2008-07-22
1487,2008-07-23
1488,2008-07-24
1489,2008-07-29
1490,2008-07-30
1491,2008-08-05
1492,2008-08-06
1493,2008-08-07
1494,2008-08-12
1495,2008-08-13
